"Endpoint RX Packet Loss Percentage",
Date,"cv_udp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_udp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",
"2022-05-12T07:17:13.452 UTC",0,"2022-05-12T07:17:13.452 UTC",0,"2022-05-12T07:18:42.907 UTC",0,"2022-05-12T07:18:42.907 UTC",0,
"2022-05-12T07:17:14.826 UTC",0,"2022-05-12T07:17:14.826 UTC",0,"2022-05-12T07:18:44.078 UTC",0,"2022-05-12T07:18:44.078 UTC",0,
"2022-05-12T07:17:16.043 UTC",0,"2022-05-12T07:17:16.043 UTC",0,"2022-05-12T07:18:45.273 UTC",0,"2022-05-12T07:18:45.273 UTC",0,
"2022-05-12T07:17:17.651 UTC",0,"2022-05-12T07:17:17.651 UTC",0,"2022-05-12T07:18:46.427 UTC",0,"2022-05-12T07:18:46.427 UTC",0,
"2022-05-12T07:17:19.349 UTC",0,"2022-05-12T07:17:19.349 UTC",0,"2022-05-12T07:18:47.738 UTC",0,"2022-05-12T07:18:47.738 UTC",0,
"2022-05-12T07:17:20.843 UTC",0,"2022-05-12T07:17:20.843 UTC",0,"2022-05-12T07:18:48.884 UTC",0,"2022-05-12T07:18:48.884 UTC",0,
"2022-05-12T07:17:22.025 UTC",0,"2022-05-12T07:17:22.025 UTC",0,"2022-05-12T07:18:50.105 UTC",0,"2022-05-12T07:18:50.105 UTC",0,
"2022-05-12T07:17:23.375 UTC",0,"2022-05-12T07:17:23.375 UTC",0,"2022-05-12T07:18:51.615 UTC",0,"2022-05-12T07:18:51.615 UTC",0,
"2022-05-12T07:17:24.579 UTC",0,"2022-05-12T07:17:24.579 UTC",0,"2022-05-12T07:18:52.919 UTC",0,"2022-05-12T07:18:52.919 UTC",0,
"2022-05-12T07:17:25.796 UTC",0,"2022-05-12T07:17:25.796 UTC",0,"2022-05-12T07:18:54.121 UTC",0,"2022-05-12T07:18:54.121 UTC",0,
"2022-05-12T07:17:26.953 UTC",0,"2022-05-12T07:17:26.953 UTC",0,"2022-05-12T07:18:55.267 UTC",0,"2022-05-12T07:18:55.267 UTC",0,
"2022-05-12T07:17:28.148 UTC",0,"2022-05-12T07:17:28.148 UTC",0,"2022-05-12T07:18:56.871 UTC",0,"2022-05-12T07:18:56.871 UTC",0,
"2022-05-12T07:17:29.369 UTC",0,"2022-05-12T07:17:29.369 UTC",0,"2022-05-12T07:18:58.175 UTC",0,"2022-05-12T07:18:58.175 UTC",0,
"2022-05-12T07:17:30.779 UTC",0,"2022-05-12T07:17:30.779 UTC",0,"2022-05-12T07:18:59.334 UTC",0,"2022-05-12T07:18:59.334 UTC",0,
"2022-05-12T07:17:32.065 UTC",0,"2022-05-12T07:17:35.724 UTC",0,"2022-05-12T07:19:00.496 UTC",0,"2022-05-12T07:19:00.496 UTC",0,
"2022-05-12T07:17:35.724 UTC",0,"2022-05-12T07:17:37.054 UTC",0,"2022-05-12T07:19:03.482 UTC",0,"2022-05-12T07:19:03.482 UTC",0,
"2022-05-12T07:17:37.054 UTC",0,"2022-05-12T07:17:38.210 UTC",0,"2022-05-12T07:19:04.644 UTC",0,"2022-05-12T07:19:04.644 UTC",0,
"2022-05-12T07:17:38.210 UTC",0,"2022-05-12T07:17:39.851 UTC",0,"2022-05-12T07:19:05.817 UTC",0,"2022-05-12T07:19:05.817 UTC",0,
"2022-05-12T07:17:39.851 UTC",0,"2022-05-12T07:17:41.594 UTC",0,"2022-05-12T07:19:07.870 UTC",0,"2022-05-12T07:19:07.870 UTC",0,
"2022-05-12T07:17:41.594 UTC",0,"2022-05-12T07:17:42.867 UTC",0,"2022-05-12T07:19:09.353 UTC",0,"2022-05-12T07:19:09.353 UTC",0,
"2022-05-12T07:17:42.867 UTC",0,"2022-05-12T07:17:44.168 UTC",0,"2022-05-12T07:19:10.504 UTC",0,"2022-05-12T07:19:10.504 UTC",0,
"2022-05-12T07:17:44.168 UTC",0,"2022-05-12T07:17:45.716 UTC",0,"2022-05-12T07:19:11.774 UTC",0,"2022-05-12T07:19:11.774 UTC",0,
"2022-05-12T07:17:45.716 UTC",0,"2022-05-12T07:17:47.113 UTC",0,"2022-05-12T07:19:13.388 UTC",0,"2022-05-12T07:19:13.388 UTC",0,
