Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Atten	Rotation	Offered-1m	Rx-Bps	Rx-Bps-1m	Rx-Bps-LL	Rx-Bps-3s	RSSI	Tx-Failed	Tx-Failed%	Tx-Rate	Rx-Rate	Rpt-Mode	Rpt-Mode-Brief
52	5260	Open	2	AUTO	80	60	UDP	DUT-TX	NA	NA	3.759 Mbps	3.754 Mbps	3.78 Mbps	12.599 Mbps	3.46 Mbps	-28	0 / 432178	0	351 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	60	UDP	DUT-RX	NA	NA	2.069 Mbps	2.072 Mbps	2.083 Mbps	6.943 Mbps	2.133 Mbps	-25	0 / 221555	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	142	UDP	DUT-TX	NA	NA	22.863 Mbps	22.782 Mbps	22.964 Mbps	32.609 Mbps	25.115 Mbps	-28	0 / 451465	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	142	UDP	DUT-RX	NA	NA	13.728 Mbps	13.664 Mbps	13.687 Mbps	19.435 Mbps	14.507 Mbps	-24	37 / 300863	0.012	866.7 Mbps	520 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	142	TCP	DUT-TX	NA	NA	49.629 Mbps	48.777 Mbps	48.799 Mbps	83.337 Mbps	50.138 Mbps	-29	0 / 1287342	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	142	TCP	DUT-RX	NA	NA	30.214 Mbps	30.436 Mbps	30.502 Mbps	52.209 Mbps	31.047 Mbps	-29	0 / 876291	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	256	UDP	DUT-TX	NA	NA	43.669 Mbps	43.383 Mbps	43.738 Mbps	52.322 Mbps	41.219 Mbps	-29	0 / 401000	0	780 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	256	UDP	DUT-RX	NA	NA	28.393 Mbps	28.553 Mbps	28.583 Mbps	34.192 Mbps	30.766 Mbps	-24	26 / 288611	0.009	780 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	256	TCP	DUT-TX	NA	NA	105.99 Mbps	105.731 Mbps	106.003 Mbps	136.248 Mbps	106.005 Mbps	-29	0 / 1140026	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	256	TCP	DUT-RX	NA	NA	75.685 Mbps	75.018 Mbps	75.616 Mbps	97.108 Mbps	75.103 Mbps	-29	0 / 798253	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	512	UDP	DUT-TX	NA	NA	89.453 Mbps	88.78 Mbps	89.216 Mbps	97.188 Mbps	87.061 Mbps	-29	0 / 361440	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	512	UDP	DUT-RX	NA	NA	57.228 Mbps	57.041 Mbps	57.329 Mbps	62.453 Mbps	65.189 Mbps	-25	0 / 244788	0	780 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	512	TCP	DUT-TX	NA	NA	224.598 Mbps	220.89 Mbps	222.455 Mbps	249.65 Mbps	224.523 Mbps	-30	0 / 1016512	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	512	TCP	DUT-RX	NA	NA	141.741 Mbps	140.464 Mbps	141.585 Mbps	158.865 Mbps	148.114 Mbps	-30	0 / 618281	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	1024	UDP	DUT-TX	NA	NA	138.819 Mbps	138.139 Mbps	138.924 Mbps	144.866 Mbps	133.547 Mbps	-30	0 / 282481	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	1024	UDP	DUT-RX	NA	NA	107.755 Mbps	107.436 Mbps	108.034 Mbps	112.655 Mbps	106.585 Mbps	-25	0 / 238181	0	780 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	1024	TCP	DUT-TX	NA	NA	323.834 Mbps	321.422 Mbps	323.129 Mbps	341.77 Mbps	315.16 Mbps	-30	0 / 687969	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	1024	TCP	DUT-RX	NA	NA	263.661 Mbps	261.614 Mbps	263.569 Mbps	278.745 Mbps	266.093 Mbps	-30	181 / 638855	0.028	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	MTU	UDP	DUT-TX	NA	NA	241.679 Mbps	240.208 Mbps	241.622 Mbps	248.516 Mbps	239.842 Mbps	-29	0 / 380184	0	780 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	MTU	UDP	DUT-RX	NA	NA	148.774 Mbps	148.465 Mbps	148.78 Mbps	153.025 Mbps	161.62 Mbps	-25	0 / 197208	0	780 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	MTU	TCP	DUT-TX	NA	NA	345.204 Mbps	328.653 Mbps	329.235 Mbps	341.962 Mbps	327.764 Mbps	-30	0 / 452960	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	MTU	TCP	DUT-RX	NA	NA	355.948 Mbps	355.35 Mbps	356.223 Mbps	369.982 Mbps	324.419 Mbps	-30	0 / 549828	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	4000	UDP	DUT-TX	NA	NA	306.717 Mbps	289.015 Mbps	289.059 Mbps	298.261 Mbps	282.954 Mbps	-30	0 / 467128	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	4000	UDP	DUT-RX	NA	NA	192.779 Mbps	192.205 Mbps	192.503 Mbps	198.631 Mbps	195.302 Mbps	-25	0 / 301552	0	780 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	4000	TCP	DUT-TX	NA	NA	346.89 Mbps	327.675 Mbps	329.493 Mbps	342.232 Mbps	329.925 Mbps	-31	0 / 438677	0	866.7 Mbps	400 Mbps	802.11an-AC	802.11ac
52	5260	Open	2	AUTO	80	4000	TCP	DUT-RX	NA	NA	353.948 Mbps	352.313 Mbps	354.416 Mbps	368.1 Mbps	352.192 Mbps	-30	0 / 498409	0	780 Mbps	400 Mbps	802.11an-AC	802.11ac
