Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Tx-Mode-Rpt	Tx-NSS-Rpt	Tx-MCS	Tx-BW-Rpt	Rx-Mode-Rpt	Rx-NSS-Rpt	Rx-MCS	Rx-BW-Rpt	RSSI dBm	Tx-Phy-Rate	Rx-Phy-Rate
52	5260	Open	2	AUTO	80	60	UDP	DUT-TX	VHT	2	4	80	2	VHT	4	40	-28 [-31, -35, -32]	351.0 MBit/s VHT-MCS 4 80MHz VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	60	UDP	DUT-RX	VHT	2	8	80	2	VHT	8	40	-26 [-31, -34, -32]	780.0 MBit/s VHT-MCS 8 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	142	UDP	DUT-TX	VHT	2	9	80	2	VHT	9	40	-29 [-31, -39, -33]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	142	UDP	DUT-RX	VHT	2	8	80	2	VHT	8	80	-25 [-32, -42, -36]	780.0 MBit/s VHT-MCS 8 80MHz short GI VHT-NSS 2	520.0 MBit/s VHT-MCS 5 80MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	142	TCP	DUT-TX	VHT	2	9	80	2	VHT	9	40	-29 [-30, -39, -35]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	142	TCP	DUT-RX	VHT	2	9	80	2	VHT	9	40	-29 [-30, -40, -36]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	256	UDP	DUT-TX	VHT	2	8	80	2	VHT	8	40	-30 [-31, -38, -34]	780.0 MBit/s VHT-MCS 8 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	256	UDP	DUT-RX	VHT	2	9	80	2	VHT	9	40	-24 [-31, -38, -34]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	256	TCP	DUT-TX	VHT	2	9	80	2	VHT	9	40	-30 [-32, -40, -34]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	256	TCP	DUT-RX	VHT	2	9	80	2	VHT	9	40	-30 [-32, -38, -35]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	512	UDP	DUT-TX	VHT	2	9	80	2	VHT	9	40	-30 [-31, -39, -36]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	512	UDP	DUT-RX	VHT	2	9	80	2	VHT	9	40	-24 [-31, -40, -35]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	512	TCP	DUT-TX	VHT	2	9	80	2	VHT	9	40	-30 [-31, -40, -35]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	512	TCP	DUT-RX	VHT	2	9	80	2	VHT	9	40	-30 [-31, -39, -34]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	1024	UDP	DUT-TX	VHT	2	9	80	2	VHT	9	40	-30 [-31, -39, -34]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	1024	UDP	DUT-RX	VHT	2	8	80	2	VHT	8	40	-26 [-32, -40, -35]	780.0 MBit/s VHT-MCS 8 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	1024	TCP	DUT-TX	VHT	2	9	80	2	VHT	9	40	-31 [-32, -40, -35]	866.7 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	1024	TCP	DUT-RX	VHT	2	8	80	2	VHT	8	40	-31 [-32, -39, -35]	780.0 MBit/s VHT-MCS 8 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	MTU	UDP	DUT-TX	VHT	2	8	80	2	VHT	8	40	-28 [-29, -40, -35]	780.0 MBit/s VHT-MCS 8 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
52	5260	Open	2	AUTO	80	MTU	UDP	DUT-RX	VHT	2	8	80	2	VHT	8	40	-26 [-30, -41, -36]	780.0 MBit/s VHT-MCS 8 80MHz short GI VHT-NSS 2	400.0 MBit/s VHT-MCS 9 40MHz short GI VHT-NSS 2
