Step Index	Position [Deg]	Attenuation [dB]	Throughput [Mbps]	Beacon RSSI [dBm]	Data RSSI [dBm]
0	NA	0	3.75	-23	-28
1	NA	0	2.07	-25	-25
2	NA	0	22.78	-23	-28
3	NA	0	13.66	-24	-24
4	NA	0	48.78	-24	-29
5	NA	0	30.44	-24	-29
6	NA	0	43.38	-24	-29
7	NA	0	28.55	-23	-24
8	NA	0	105.73	-24	-29
9	NA	0	75.02	-24	-29
10	NA	0	88.78	-24	-29
11	NA	0	57.04	-25	-25
12	NA	0	220.89	-25	-30
13	NA	0	140.46	-25	-30
14	NA	0	138.14	-25	-30
15	NA	0	107.44	-26	-25
16	NA	0	321.42	-25	-30
17	NA	0	261.61	-25	-30
18	NA	0	240.21	-24	-29
19	NA	0	148.47	-25	-25
20	NA	0	328.65	-26	-30
21	NA	0	355.35	-25	-30
22	NA	0	289.02	-25	-30
23	NA	0	192.20	-25	-25
24	NA	0	327.67	-26	-31
25	NA	0	352.31	-25	-30
